alert_id,symbol,instrument_name,signal_type,signal_time,current_price,rsi_1m,rsi_5m,rsi_15m,rsi_30m,rsi_1h,rsi_4h,timeframes_aligned,total_timeframes,signal_strength,candle_time,candle_open,candle_high,candle_low,candle_close,candle_volume,price_1h_later,price_4h_later,price_24h_later,hour_utc,day_of_week
ae4deb63-d653-4efe-aad5-ac9c98c74d24,SOLUSDT,Solana [TEST],OVERSOLD,2026-04-14T21:53:48.102901Z,142.5,,,24.3,,26.7,22.1,3,3,7.2,,,,,,,,,,21,TUESDAY
e6860f96-9ef2-4ca1-b591-969db081bbfb,SOLUSDT,Solana [TEST],OVERSOLD,2026-04-14T21:54:24.575056Z,142.5,,,24.3,,26.7,22.1,3,3,7.2,,,,,,,,,,21,TUESDAY
f73fc009-8b85-4f22-94ee-9f61f5ef2224,IX.D.SPTRD.DAILY.IP,S&P 500,OVERBOUGHT,2026-04-14T21:55:47.984890201Z,6967.37000000,,,70.3944,77.2841,82.6994,,3,3,6.7926,2026-04-14T22:30:00Z,6967.22000000,6967.42000000,6966.57000000,6967.37000000,0E-8,,,,21,TUESDAY
dfdf6f68-ee5f-4348-bb87-e552491898fd,IX.D.SPTRD.DAILY.IP,S&P 500,OVERBOUGHT,2026-04-14T21:56:56.373481045Z,6967.37000000,,,70.3944,77.2841,82.6994,,3,3,6.7926,2026-04-14T22:30:00Z,6967.22000000,6967.42000000,6966.57000000,6967.37000000,0E-8,,,,21,TUESDAY
